Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Lulu's,37.53409120361018,-77.42802797386697,New American Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Havana '59,37.53382332373362,-77.42832524008547,Cuban Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Bottoms Up Pizza,37.53231133845205,-77.42941262839378,Pizza Place
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,The Tobacco Company Restaurant,37.535802301963045,-77.43467152896547,American Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,17th Street Farmer's Market,37.53373954653926,-77.42843872559801,Farmers Market
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Jo-Jo's Pizza,37.53670100023818,-77.43395382431333,Pizza Place
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Sam Miller's,37.53561042306053,-77.43421317662488,Wine Bar
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,LaDifference,37.53345782223779,-77.43250977812052,Furniture / Home Store
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Addis Ethiopian Restaurant,37.533740094128625,-77.42812559008598,Ethiopian Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Capitol Waffle Shop,37.536724,-77.434186,Breakfast Spot
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Richmond Cigar Factory,37.533994774586866,-77.42809664531714,Smoke Shop
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Canal Walk,37.53224981168466,-77.4292147301419,Trail
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,James Center YMCA,37.53558818175437,-77.43601228389346,Gym
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Northern Grade,37.53356461827174,-77.43658125400543,Men's Store
Upper Shockoe Valley,Richmond,VA,37.54357020000001,-77.4257319,Barnes & Noble,37.543330966368025,-77.42902980118572,Bookstore
Upper Shockoe Valley,Richmond,VA,37.54357020000001,-77.4257319,Starbucks,37.5447216,-77.4296058,Coffee Shop
Upper Shockoe Valley,Richmond,VA,37.54357020000001,-77.4257319,MCV Campus Recreation & Aquatic Center,37.54483083494511,-77.4296523035288,College Gym
Upper Shockoe Valley,Richmond,VA,37.54357020000001,-77.4257319,Oldest Commercial Building in Richmond,37.543446,-77.422604,Scenic Lookout
Brauers,Richmond,VA,37.546845399999995,-77.41353670000002,Stop & Go,37.54934,-77.414744,Deli / Bodega
Brauers,Richmond,VA,37.546845399999995,-77.41353670000002,Woolfolk And Sons,37.550261,-77.41337800000001,Seafood Restaurant
Brauers,Richmond,VA,37.546845399999995,-77.41353670000002,Sandra's kitchen,37.544453611065585,-77.41672295271354,Southern / Soul Food Restaurant
Chimborazo,Richmond,VA,37.528287299999995,-77.40564509999999,Chimbo Mart,37.53083386918587,-77.40677557792331,Grocery Store
Chimborazo,Richmond,VA,37.528287299999995,-77.40564509999999,The Hidden Manor,37.52917,-77.40720400000001,Art Gallery
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Dutch & Co.,37.531431506480246,-77.41620466129925,New American Restaurant
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Well-Made Pastry Alliance,37.53131778879833,-77.41616673898986,Bakery
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Sub Rosa Bakery,37.53491531890891,-77.41586937258757,Bakery
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Liberty Public House,37.533115381762045,-77.41750454233176,New American Restaurant
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Proper Pie Co.,37.53149972291434,-77.41857177773738,Bakery
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,The Roosevelt,37.535085034509144,-77.41541053780736,Southern / Soul Food Restaurant
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Union Market,37.53508,-77.41793,Deli / Bodega
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,The Hill Cafe,37.529980527543515,-77.4160104378461,American Restaurant
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Alamo BBQ,37.534955944366665,-77.41956473532514,BBQ Joint
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,St. John's Church,37.531891189888796,-77.419771766198,Historic Site
Church Hill,Richmond,VA,37.532839700000004,-77.4162523,Patrick Henry's Pub & Grille,37.53283141301023,-77.42037548375669,Pub
